번호,프로그램명,장르,채널,개인 전체 시청시간,개인 전체 시청률,4-9세 남자 시청시간,4-9세 남자 시청률,4-9세 여자 시청시간,4-9세 여자 시청률,10대 남자 시청시간,10대 남자 시청률,10대 여자 시청시간,10대 여자 시청률,20대 남자 시청시간,20대 남자 시청률,20대 여자 시청시간,20대 여자 시청률,30대 남자 시청시간,30대 남자 시청률,30대 여자 시청시간,30대 여자 시청률,40대 남자 시청시간,40대 남자 시청률,40대 여자 시청시간,40대 여자 시청률,50대 남자 시청시간,50대 남자 시청률,50대 여자 시청시간,50대 여자 시청률,60대 이상 남자 시청시간,60대 이상 남자 시청률,60세 이상 여자 시청시간,60대 여자 시청률
590,선넘은패밀리(본) (9월),오락,채널A,0.833861435,0.567252677,0.0,0.0,0.033553056,0.022825208,0.36729038,0.249857402,0.675865831,0.459772674,0.20182777,0.137297803,0.295930518,0.201313278,0.299066207,0.203446399,0.694226525,0.472262942,0.537932451,0.365940443,0.84323214,0.573627306,0.611582147,0.416042277,1.043661563,0.709973852,1.603098445,1.09054316,1.627945611,1.107445994
473,선넘은패밀리(본) (10월),오락,채널A,1.283255398,0.536926945,0.045967908,0.019233434,0.103521114,0.043314274,0.453445215,0.189726031,0.306979346,0.128443241,0.251912632,0.105402775,0.33335767,0.139480197,0.801701554,0.335439981,1.123728901,0.470179457,1.044183512,0.436896867,1.088066579,0.455257983,0.888330221,0.371686285,1.282546666,0.536630404,2.689962871,1.125507477,2.65183365,1.109553828
318,선넘은패밀리(본) (11월),오락,채널A,2.1136523,0.67100073,0.002953367,0.000937577,0.089114619,0.028290355,0.260280231,0.082628645,0.369293316,0.117235973,2.481344022,0.787728261,0.551689136,0.175139408,0.992394989,0.315046028,0.878480616,0.278882735,1.291745084,0.410077804,0.871386169,0.27663053,2.496435461,0.792519194,2.965354291,0.941382315,4.921741733,1.562457693,3.435117064,1.090513354
296,선넘은패밀리(본) (12월),오락,채널A,2.59339701,0.645123634,0.407127731,0.101275555,0.466668231,0.116086625,0.012342911,0.003070376,0.829039132,0.20622864,1.470536889,0.365805196,0.766104101,0.190573159,0.262883072,0.065393799,0.858754638,0.213620557,1.239205823,0.308260155,2.052139879,0.510482557,3.738981153,0.930094814,2.890480954,0.719025113,5.349360532,1.3306867,5.605702564,1.394453374
