번호,프로그램명,장르,채널,개인 전체 시청시간,개인 전체 시청률,4-9세 남자 시청시간,4-9세 남자 시청률,4-9세 여자 시청시간,4-9세 여자 시청률,10대 남자 시청시간,10대 남자 시청률,10대 여자 시청시간,10대 여자 시청률,20대 남자 시청시간,20대 남자 시청률,20대 여자 시청시간,20대 여자 시청률,30대 남자 시청시간,30대 남자 시청률,30대 여자 시청시간,30대 여자 시청률,40대 남자 시청시간,40대 남자 시청률,40대 여자 시청시간,40대 여자 시청률,50대 남자 시청시간,50대 남자 시청률,50대 여자 시청시간,50대 여자 시청률,60대 이상 남자 시청시간,60대 이상 남자 시청률,60세 이상 여자 시청시간,60대 여자 시청률
523,식객허영만의백반기행(본) (8월),정보,TV CHOSUN,1.024173718,0.568985399,0.360953142,0.200529523,0.023091982,0.012828879,0.039422096,0.021901165,1.179654697,0.655363721,0.271984911,0.151102729,0.07049555,0.039164195,0.381376718,0.211875954,0.683651926,0.379806625,0.701201899,0.38955661,0.617895458,0.343275254,1.939713165,1.077618425,0.497131125,0.276183959,1.622937446,0.901631915,2.394023565,1.330013092
847,역전의한방(본) (8월),정보,TV CHOSUN,0.376847432,0.261699605,0.0,0.0,0.0,0.0,0.014492906,0.010064518,0.096673738,0.06713454,0.046032627,0.031967102,0.018042892,0.012529786,0.088795778,0.061663735,0.0998586,0.06934625,0.240763587,0.167196936,0.104378946,0.072485379,0.248094519,0.172287861,0.444338622,0.308568487,0.851220699,0.591125485,1.10130764,0.764796972
494,식객허영만의백반기행(본) (9월),정보,TV CHOSUN,1.174951538,0.649144496,0.0,0.0,0.0,0.0,0.043643885,0.024112644,1.482951717,0.819310341,1.074113768,0.593433021,0.092080151,0.050873012,0.565058328,0.312186922,0.355714845,0.196527538,0.887916273,0.490561477,0.993033369,0.548637221,1.774043053,0.980134283,1.063804086,0.587737064,2.063434888,1.140019275,2.164857854,1.196054063
870,역전의한방(본) (9월),정보,TV CHOSUN,0.323622754,0.227903348,0.0,0.0,0.0,0.0,0.008325604,0.005863102,0.065122016,0.045860575,0.082389414,0.058020714,0.045260102,0.031873311,0.094766748,0.066737147,0.227371446,0.160120737,0.139313971,0.09810843,0.017168057,0.012090181,0.123377558,0.086885604,0.276498236,0.194717068,0.715418923,0.503816143,1.05036018,0.739690268
515,식객허영만의백반기행(본) (10월),정보,TV CHOSUN,1.125572041,0.809764058,0.0,0.0,0.0,0.0,0.273865591,0.197025605,0.755805593,0.543745031,1.089168888,0.783574739,0.22892759,0.164696108,0.644766826,0.463861026,0.521014538,0.374830603,0.540740064,0.389021629,0.572209518,0.411661524,1.633510391,1.175187331,0.978892022,0.704238864,2.346617378,1.688213941,2.103654096,1.513420213
719,신의한수(본) (10월),정보,TV CHOSUN,0.538547485,0.395990798,0.249290192,0.183301612,0.0,0.0,0.0,0.0,0.161703018,0.118899278,0.163884122,0.120503031,0.115749177,0.085109689,0.334870146,0.246228048,0.403936647,0.29701224,0.51729392,0.380363177,0.153238957,0.112675704,0.284481879,0.209177852,0.776844226,0.57120899,1.08297289,0.796303596,1.214603831,0.893091053
942,역전의한방(본) (10월),정보,TV CHOSUN,0.281569246,0.265631364,0.0,0.0,0.0,0.0,0.081245746,0.07664693,0.028965743,0.027326173,0.001327454,0.001252315,0.0,0.0,0.072117546,0.068035421,0.344056853,0.324581937,0.066377187,0.062619988,0.090102878,0.085002715,0.033723971,0.031815067,0.283731321,0.267671058,0.77739813,0.733394462,0.76729558,0.723863754
476,식객허영만의백반기행(본) (11월),정보,TV CHOSUN,1.142644415,0.846403271,0.311745875,0.23092287,0.442963618,0.328121199,0.489329233,0.362466099,0.811958606,0.601450819,0.524367297,0.38842022,0.037661187,0.027897176,0.571140702,0.423067186,1.145094841,0.848218401,0.823852449,0.610261073,0.743483644,0.550728625,1.564558878,1.158932502,1.354418385,1.003272878,1.949260128,1.443896391,2.033837354,1.506546188
624,신의한수(본) (11월),정보,TV CHOSUN,0.680295805,0.375854036,0.155669068,0.08600501,0.0,0.0,0.017663892,0.009759056,0.1782635,0.098488121,0.170685261,0.094301249,0.049577293,0.027390769,0.75782768,0.418689326,0.419488309,0.231761497,0.80976096,0.447381746,0.062439955,0.034497212,0.125603724,0.069394323,0.703382504,0.388609118,1.328000334,0.733701842,1.807425776,0.998577777
1030,역전의한방(본) (11월),정보,TV CHOSUN,0.189582189,0.177179616,0.136211662,0.127300619,0.0,0.0,0.005258411,0.004914403,0.030384179,0.028396429,0.091366434,0.085389191,0.014448821,0.013503571,0.028399128,0.026541241,0.040769192,0.038102048,0.08030563,0.075051991,0.136787859,0.127839121,0.082514842,0.077116675,0.113896862,0.106445665,0.50168947,0.468868664,0.520258523,0.486222919
423,식객허영만의백반기행(본) (12월),정보,TV CHOSUN,1.603452867,0.703268801,0.0,0.0,0.068727153,0.030143488,0.221780238,0.097272034,1.283033593,0.562734032,1.178992293,0.517101883,0.722651268,0.316952311,0.678765065,0.297703976,1.128534784,0.494971397,1.143810337,0.5016712,1.037368434,0.454986155,2.203520893,0.966456532,1.427470681,0.626083632,3.025553209,1.326997022,2.934453432,1.287040979
507,신의한수(본) (12월),정보,TV CHOSUN,1.127605016,0.622986197,0.0,0.0,0.0,0.0,0.912257617,0.504009733,0.763687756,0.421926937,0.569122219,0.314432165,0.437819088,0.241888999,1.000096793,0.552539665,0.942296441,0.520605769,1.052857228,0.581689076,0.646328098,0.357087347,1.143809418,0.631938905,1.340429231,0.740568636,1.906746688,1.053451209,1.842020847,1.017691076
818,역전의한방(본) (12월),정보,TV CHOSUN,0.371534768,0.344013674,0.0,0.0,0.0,0.0,0.501438915,0.464295291,0.067592068,0.062585248,0.195955963,0.181440706,0.001238088,0.001146378,0.293664757,0.271911812,0.277957388,0.257367952,0.059832258,0.055400239,0.347486662,0.32174691,0.193863246,0.179503005,0.112471028,0.10413984,0.814161683,0.75385341,0.90758299,0.840354621
