프로그램명,채널,요일,10대(시청자수),20대(시청자수),30대(시청자수),40대(시청자수),50대(시청자수)
손대면 핫플! 동네멋집,SBS,수,32205,21996,87351,149899,167365
청춘의국,SBS,수,69112,20363,24244,111500,100025
오늘도 사랑스럽개,MBC,수,51715,84042,54466,153611,219959
옆집 남편들 - 녹색 아버지회,SBS,수,70452,23283,68349,131572,125344
라디오스타,MBC,수,17704,40901,61395,161008,198326
유 퀴즈 온 더 블럭,tvN,수,75860,69028,126663,246882,248670
옥탑방의 문제아들,KBS2,수,19499,39881,96727,109070,171669
골 때리는 그녀들,SBS,수,59401,76404,125304,195197,301833
요즘 남자 라이프 - 신랑수업,채널A,수,15272,31213,30858,47086,87400
과학수사대 스모킹건,KBS2,수,9110,14128,34301,65211,121196
트랄랄라 브라더스,TV CHOSUN,수,17382,25158,55687,55461,126581
손대면 핫플! 동네멋집,SBS,수,45868,49458,85076,209329,175942
오늘도 사랑스럽개,MBC,수,50225,51485,53102,135859,156310
옆집 남편들 - 녹색 아버지회,SBS,수,18730,18894,17792,56590,85223
라디오스타,MBC,수,42446,40369,91406,196419,256275
유 퀴즈 온 더 블럭,tvN,수,94401,58541,133253,234152,240619
옥탑방의 문제아들,KBS2,수,23121,42383,90167,123503,218017
골 때리는 그녀들,SBS,수,48946,62791,133892,198729,360487
요즘 남자 라이프 - 신랑수업,채널A,수,22746,32751,28743,55611,108183
오늘도 사랑스럽개,MBC,수,65043,56069,68834,168896,157020
유니버스 티켓,SBS,수,8717,8842,33224,48951,53485
아빠하고 나하고,TV CHOSUN,수,10644,33820,65235,55549,86398
